対戦日,チーム1,ペア1,ゲーム1,TB1,TB2,ゲーム2,ペア2,チーム2,オーダー
2024/03/03,TEAM FOCS,すぎちず,6,,,1,あっくんソウイチロウ,Achieve,No.3
2024/03/03,TEAM FOCS,オーゾノ,2,,,6,かべさら,Achieve,No.1
2024/03/02,Benissimo（ベニッシモ）,ポン・下,2,,,6,サッキー・渋,B作,No.3
2024/02/18,B作,滑ハラ,1,,,6,しょう文,Achieve,No.2
2024/02/18,TEAM FOCS,すぎちず,6,8,6,6,POMなお,Benissimo（ベニッシモ）,No.3
2024/02/18,TEAM FOCS,オーゾノ,6,,,2,まっちゃんひろし,B作,No.1
2024/02/18,Achieve,かべさら,6,,,3,さとまあ,え～チーム,No.1
2024/02/17,Achieve,しょうこ文,6,,,4,あややそうへい,エヴァンゲリオン ,No.2
2024/02/17,Achieve,かべちん皿ちゃん,6,,,2,まっちゃんひろし ,B作,No.1
2024/02/11,Benissimo（ベニッシモ）,よっしー&たく,6,,,2,まっちゃん&ひろし ,B作,No.1
2024/02/11,Benissimo（ベニッシモ）,よっしー&たく,6,,,1,まあ&こし,え～チーム ,No.1
2024/02/11,B作,ナメちゃん・はらちゃん,5,,,7,いいだっち・南,TEAM FOCS ,No.2
2024/01/07,え～チーム,ザッキー・北ちゃん,3,,,6,しもちゃん・なおちゃん,Benissimo（ベニッシモ）,No.3
2024/01/07,え～チーム,さとみちゃん・もこちゃん,2,,,6,ともちん・みほりん,Benissimo（ベニッシモ）,No.2
2023/11/26,Achieve,きょろあっくん,2,,,6,ザッキーもこ,え～チーム,No.3
2023/11/25,Benissimo（ベニッシモ）,よしタクー,6,,,0,のりあや,エヴァンゲリオン,No.1
2023/11/25,Benissimo（ベニッシモ）,しもなお,6,,,0,そーへーちー,エヴァンゲリオン,No.3
2023/11/23,Achieve,文ちゃんしょうこちゃん,6,,,2,こしちゃんみきちゃん,え～チーム ,No.2
2023/10/28,B作,まつ・ひろ,6,,,3,のり・あや ,エヴァンゲリオン,No.1
2023/10/28,B作,ナメ・はら,6,,,2,そー・てつ ,エヴァンゲリオン,No.2
2023/10/28,B作,サッキー・渋,3,,,6,みい・ちー,エヴァンゲリオン,No.3
2023/10/28,Achieve,文ちゃん・ショウコさん ,6,,,0,ともちん・みほりん ,Benissimo（ベニッシモ）,No.2
2023/10/28,Achieve,あっくん・ソウイチロウ,1,,,6,夫妻,Benissimo（ベニッシモ）,No.3
2023/10/22,え～チーム,ザッキーみきちゃん,6,7,5,6,いいだっちみなみちゃん ,TEAM FOCS ,No.2
2023/10/01,え～チーム,こしみき,7,,,5,ナメしぶ ,B作,No.2
2023/09/30,え～チーム ,まあさとみ,6,,,2,のりあやや,エヴァンゲリオン,No.1
2023/09/30,え～チーム ,こしみき,6,,,1,てつそーへい ,エヴァンゲリオン,No.2
2023/09/30,え～チーム ,もこきた,1,,,6,みいやんちー,エヴァンゲリオン,No.3
2023/09/30,Benissimo（ベニッシモ）,みほとも,6,,,4,みなみだっち,TEAM FOCS ,No.2
2023/09/24,エヴァンゲリオン,みやちー,0,,,6,飯南,TEAM FOCS ,No.2
2023/09/10,エヴァンゲリオン,のりちゃんてっちゃん,0,,,6,おーちゃんゾノ,TEAM FOCS ,No.1
2023/09/10,エヴァンゲリオン,あややそーへー,5,,,7,すぎちゃんちづちゃん ,TEAM FOCS ,No.3
2023/09/03,え～チーム,まあくんこしちゃん,7,,,5,おーちゃんゾノ,TEAM FOCS ,No.1
2023/09/03,え～チーム,さとみちゃんきたちゃん,6,,,1,すぎちゃんえみちゃん,TEAM FOCS ,No.3
2023/08/20,え～チーム ,まあくんさとみちゃん ,6,,,1,まっちゃんひろし ,B作,No.1
2023/08/20,え～チーム,ザッキーもこちゃん,2,,,6,はらちゃんサッキー,B作,No.3
2023/08/20,Achieve,皿ちゃん&かべちん ,6,,,0,のりぴー&てつさん ,エヴァンゲリオン,No.1
2023/08/20,Achieve,あっくん&ソウイチロウ ,6,2,7,6,みいやん&ちーちゃん ,エヴァンゲリオン,No.3
